 iream,isis,isim,iper,ipea,
   1,    1,   10,    2,    2,       0.0000,       0.0000,       0.0000,
   1,    2,    1,    2,    2,       0.0000,       0.0000,       0.0000,
   1,    2,    2,    2,    2,       0.0000,       0.0000,       0.0000,
   1,    2,    3,    2,    2,       0.0000,       0.0000,       0.0000,
   1,    2,    4,    2,    2,       0.0000,       0.0000,       0.0000,
   1,    2,    5,    2,    2,       0.0000,       0.0000,       0.0000,
   1,    2,    6,    2,    2,       0.0000,       0.0000,       0.0000,
   1,    2,    7,    2,    2,       0.0000,       0.0000,       0.0000,
   1,    2,    8,    2,    2,       0.0000,       0.0000,       0.0000,
   1,    2,    9,    2,    2,       0.0000,       0.0000,       0.0000,
   1,    2,   10,    2,    2,       0.0000,       0.0000,       0.0000,
   1,    3,    1,    2,    2,       0.0000,       0.0000,       0.0000,
   1,    3,    2,    2,    2,       0.0000,       0.0000,       0.0000,
   1,    3,    3,    2,    2,       0.0000,       0.0000,       0.0000,
   1,    3,    4,    2,    2,       0.0000,       0.0000,       0.0000,
   1,    3,    5,    2,    2,       0.0000,       0.0000,       0.0000,
   1,    3,    6,    2,    2,       0.0000,       0.0000,       0.0000,
   1,    3,    7,    2,    2,       0.0000,       0.0000,       0.0000,
   1,    3,    8,    2,    2,       0.0000,       0.0000,       0.0000,
   1,    3,    9,    2,    2,       0.0000,       0.0000,       0.0000,
   1,    3,   10,    2,    2,       0.0000,       0.0000,       0.0000,
   1,    4,    1,    2,    2,       0.0000,       0.0000,       0.0000,
   1,    4,    2,    2,    2,       0.0000,       0.0000,       0.0000,
   1,    4,    3,    2,    2,       0.0000,       0.0000,       0.0000,
   1,    4,    4,    2,    2,       0.0000,       0.0000,       0.0000,
   1,    4,    5,    2,    2,       0.0000,       0.0000,       0.0000,
   1,    4,    6,    2,    2,       0.0000,       0.0000,       0.0000,
   1,    4,    7,    2,    2,       0.0000,       0.0000,       0.0000,
   1,    4,    8,    2,    2,       0.0000,       0.0000,       0.0000,
   1,    4,    9,    2,    2,       0.0000,       0.0000,       0.0000,
   1,    4,   10,    2,    2,       0.0000,       0.0000,       0.0000,
   1,    5,    1,    2,    2,       0.0000,       0.0000,       0.0000,
   1,    5,    2,    2,    2,       0.0000,       0.0000,       0.0000,
   1,    5,    3,    2,    2,       0.0000,       0.0000,       0.0000,
   1,    5,    4,    2,    2,       0.0000,       0.0000,       0.0000,
   1,    5,    5,    2,    2,       0.0000,       0.0000,       0.0000,
   1,    5,    6,    2,    2,       0.0000,       0.0000,       0.0000,
   1,    5,    7,    2,    2,       0.0000,       0.0000,       0.0000,
   1,    5,    8,    2,    2,       0.0000,       0.0000,       0.0000,
   1,    5,    9,    2,    2,       0.0000,       0.0000,       0.0000,
   1,    5,   10,    2,    2,       0.0000,       0.0000,       0.0000,
   1,    6,    1,    2,    2,       0.0000,       0.0000,       0.0000,
   1,    6,    2,    2,    2,       0.0000,       0.0000,       0.0000,
   1,    6,    3,    2,    2,       0.0000,       0.0000,       0.0000,
   1,    6,    4,    2,    2,       0.0000,       0.0000,       0.0000,
   1,    6,    5,    2,    2,       0.0000,       0.0000,       0.0000,
   1,    6,    6,    2,    2,       0.0000,       0.0000,       0.0000,
   1,    6,    7,    2,    2,       0.0000,       0.0000,       0.0000,
   1,    6,    8,    2,    2,       0.0000,       0.0000,       0.0000,
   1,    6,    9,    2,    2,       0.0000,       0.0000,       0.0000,
   1,    6,   10,    2,    2,       0.0000,       0.0000,       0.0000,
   1,    7,    1,    2,    2,       0.0000,       0.0000,       0.0000,
   1,    7,    2,    2,    2,       0.0000,       0.0000,       0.0000,
   1,    7,    3,    2,    2,       0.0000,       0.0000,       0.0000,
   1,    7,    4,    2,    2,       0.0000,       0.0000,       0.0000,
   1,    7,    5,    2,    2,       0.0000,       0.0000,       0.0000,
   1,    7,    6,    2,    2,       0.0000,       0.0000,       0.0000,
   1,    7,    7,    2,    2,       0.0000,       0.0000,       0.0000,
   1,    7,    8,    2,    2,       0.0000,       0.0000,       0.0000,
   1,    7,    9,    2,    2,       0.0000,       0.0000,       0.0000,
   1,    7,   10,    2,    2,       0.0000,       0.0000,       0.0000,
   1,    8,    1,    2,    2,       0.0000,       0.0000,       0.0000,
   1,    8,    2,    2,    2,       0.0000,       0.0000,       0.0000,
   1,    8,    3,    2,    2,       0.0000,       0.0000,       0.0000,
   1,    8,    4,    2,    2,       0.0000,       0.0000,       0.0000,
   1,    8,    5,    2,    2,       0.0000,       0.0000,       0.0000,
   1,    8,    6,    2,    2,       0.0000,       0.0000,       0.0000,
   1,    8,    7,    2,    2,       0.0000,       0.0000,       0.0000,
   1,    8,    8,    2,    2,       0.0000,       0.0000,       0.0000,
   1,    8,    9,    2,    2,       0.0000,       0.0000,       0.0000,
   1,    8,   10,    2,    2,       0.0000,       0.0000,       0.0000,
   1,    9,    1,    2,    2,       0.0000,       0.0000,       0.0000,
   1,    9,    2,    2,    2,       0.0000,       0.0000,       0.0000,
   1,    9,    3,    2,    2,       0.0000,       0.0000,       0.0000,
   1,    9,    4,    2,    2,       0.0000,       0.0000,       0.0000,
   1,    9,    5,    2,    2,       0.0000,       0.0000,       0.0000,
   1,    9,    6,    2,    2,       0.0000,       0.0000,       0.0000,
   1,    9,    7,    2,    2,       0.0000,       0.0000,       0.0000,
   1,    9,    8,    2,    2,       0.0000,       0.0000,       0.0000,
   1,    9,    9,    2,    2,       0.0000,       0.0000,       0.0000,
   1,    9,   10,    2,    2,       0.0000,       0.0000,       0.0000,
   1,   10,    1,    2,    2,       0.0000,       0.0000,       0.0000,
   1,   10,    2,    2,    2,       0.0000,       0.0000,       0.0000,
   1,   10,    3,    2,    2,       0.0000,       0.0000,       0.0000,
   1,   10,    4,    2,    2,       0.0000,       0.0000,       0.0000,
   1,   10,    5,    2,    2,       0.0000,       0.0000,       0.0000,
   1,   10,    6,    2,    2,       0.0000,       0.0000,       0.0000,
   1,   10,    7,    2,    2,       0.0000,       0.0000,       0.0000,
   1,   10,    8,    2,    2,       0.0000,       0.0000,       0.0000,
   1,   10,    9,    2,    2,       0.0000,       0.0000,       0.0000,
   1,   10,   10,    2,    2,       0.0000,       0.0000,       0.0000,
   1,   11,    1,    2,    2,       0.0000,       0.0000,       0.0000,
   1,   11,    2,    2,    2,       0.0000,       0.0000,       0.0000,
   1,   11,    3,    2,    2,       0.0000,       0.0000,       0.0000,
   1,   11,    4,    2,    2,       0.0000,       0.0000,       0.0000,
   1,   11,    5,    2,    2,       0.0000,       0.0000,       0.0000,
   1,   11,    6,    2,    2,       0.0000,       0.0000,       0.0000,
   1,   11,    7,    2,    2,       0.0000,       0.0000,       0.0000,
   1,   11,    8,    2,    2,       0.0000,       0.0000,       0.0000,
   1,   11,    9,    2,    2,       0.0000,       0.0000,       0.0000,
   1,   11,   10,    2,    2,       0.0000,       0.0000,       0.0000,
   1,   12,    1,    2,    2,       0.0000,       0.0000,       0.0000,
   1,   12,    2,    2,    2,       0.0000,       0.0000,       0.0000,
   1,   12,    3,    2,    2,       0.0000,       0.0000,       0.0000,
   1,   12,    4,    2,    2,       0.0000,       0.0000,       0.0000,
   1,   12,    5,    2,    2,       0.0000,       0.0000,       0.0000,
   1,   12,    6,    2,    2,       0.0000,       0.0000,       0.0000,
   1,   12,    7,    2,    2,       0.0000,       0.0000,       0.0000,
   1,   12,    8,    2,    2,       0.0000,       0.0000,       0.0000,
   1,   12,    9,    2,    2,       0.0000,       0.0000,       0.0000,
   1,   12,   10,    2,    2,       0.0000,       0.0000,       0.0000,
   1,    1,    1,    3,    3,       0.0000,       0.0000,       0.0000,
   1,    1,    2,    3,    3,       0.0000,       0.0000,       0.0000,
   1,    1,    3,    3,    3,       0.0000,       0.0000,       0.0000,
   1,    1,    4,    3,    3,       0.0000,       0.0000,       0.0000,
   1,    1,    5,    3,    3,       0.0000,       0.0000,       0.0000,
   1,    1,    6,    3,    3,       0.0000,       0.0000,       0.0000,
   1,    1,    7,    3,    3,       0.0000,       0.0000,       0.0000,
   1,    1,    8,    3,    3,       0.0000,       0.0000,       0.0000,
   1,    1,    9,    3,    3,       0.0000,       0.0000,       0.0000,
   1,    1,   10,    3,    3,       0.0000,       0.0000,       0.0000,
   1,    2,    1,    3,    3,       0.0000,       0.0000,       0.0000,
   1,    2,    2,    3,    3,       0.0000,       0.0000,       0.0000,
   1,    2,    3,    3,    3,       0.0000,       0.0000,       0.0000,
   1,    2,    4,    3,    3,       0.0000,       0.0000,       0.0000,
   1,    2,    5,    3,    3,       0.0000,       0.0000,       0.0000,
   1,    2,    6,    3,    3,       0.0000,       0.0000,       0.0000,
   1,    2,    7,    3,    3,       0.0000,       0.0000,       0.0000,
   1,    2,    8,    3,    3,       0.0000,       0.0000,       0.0000,
   1,    2,    9,    3,    3,       0.0000,       0.0000,       0.0000,
   1,    2,   10,    3,    3,       0.0000,       0.0000,       0.0000,
   1,    3,    1,    3,    3,       0.0000,       0.0000,       0.0000,
   1,    3,    2,    3,    3,       0.0000,       0.0000,       0.0000,
   1,    3,    3,    3,    3,       0.0000,       0.0000,       0.0000,
   1,    3,    4,    3,    3,       0.0000,       0.0000,       0.0000,
   1,    3,    5,    3,    3,       0.0000,       0.0000,       0.0000,
   1,    3,    6,    3,    3,       0.0000,       0.0000,       0.0000,
   1,    3,    7,    3,    3,       0.0000,       0.0000,       0.0000,
   1,    3,    8,    3,    3,       0.0000,       0.0000,       0.0000,
   1,    3,    9,    3,    3,       0.0000,       0.0000,       0.0000,
   1,    3,   10,    3,    3,       0.0000,       0.0000,       0.0000,
   1,    4,    1,    3,    3,       0.0000,       0.0000,       0.0000,
   1,    4,    2,    3,    3,       0.0000,       0.0000,       0.0000,
   1,    4,    3,    3,    3,       0.0000,       0.0000,       0.0000,
   1,    4,    4,    3,    3,       0.0000,       0.0000,       0.0000,
   1,    4,    5,    3,    3,       0.0000,       0.0000,       0.0000,
   1,    4,    6,    3,    3,       0.0000,       0.0000,       0.0000,
   1,    4,    7,    3,    3,       0.0000,       0.0000,       0.0000,
   1,    4,    8,    3,    3,       0.0000,       0.0000,       0.0000,
   1,    4,    9,    3,    3,       0.0000,       0.0000,       0.0000,
   1,    4,   10,    3,    3,       0.0000,       0.0000,       0.0000,
   1,    5,    1,    3,    3,       0.0000,       0.0000,       0.0000,
   1,    5,    2,    3,    3,       0.0000,       0.0000,       0.0000,
   1,    5,    3,    3,    3,       0.0000,       0.0000,       0.0000,
   1,    5,    4,    3,    3,       0.0000,       0.0000,       0.0000,
   1,    5,    5,    3,    3,       0.0000,       0.0000,       0.0000,
   1,    5,    6,    3,    3,       0.0000,       0.0000,       0.0000,
   1,    5,    7,    3,    3,       0.0000,       0.0000,       0.0000,
   1,    5,    8,    3,    3,       0.0000,       0.0000,       0.0000,
   1,    5,    9,    3,    3,       0.0000,       0.0000,       0.0000,
   1,    5,   10,    3,    3,       0.0000,       0.0000,       0.0000,
   1,    6,    1,    3,    3,       0.0000,       0.0000,       0.0000,
   1,    6,    2,    3,    3,       0.0000,       0.0000,       0.0000,
   1,    6,    3,    3,    3,       0.0000,       0.0000,       0.0000,
   1,    6,    4,    3,    3,       0.0000,       0.0000,       0.0000,
   1,    6,    5,    3,    3,       0.0000,       0.0000,       0.0000,
   1,    6,    6,    3,    3,       0.0000,       0.0000,       0.0000,
   1,    6,    7,    3,    3,       0.0000,       0.0000,       0.0000,
   1,    6,    8,    3,    3,       0.0000,       0.0000,       0.0000,
   1,    6,    9,    3,    3,       0.0000,       0.0000,       0.0000,
   1,    6,   10,    3,    3,       0.0000,       0.0000,       0.0000,
   1,    7,    1,    3,    3,       0.0000,       0.0000,       0.0000,
   1,    7,    2,    3,    3,       0.0000,       0.0000,       0.0000,
   1,    7,    3,    3,    3,       0.0000,       0.0000,       0.0000,
   1,    7,    4,    3,    3,       0.0000,       0.0000,       0.0000,
   1,    7,    5,    3,    3,       0.0000,       0.0000,       0.0000,
   1,    7,    6,    3,    3,       0.0000,       0.0000,       0.0000,
   1,    7,    7,    3,    3,       0.0000,       0.0000,       0.0000,
   1,    7,    8,    3,    3,       0.0000,       0.0000,       0.0000,
   1,    7,    9,    3,    3,       0.0000,       0.0000,       0.0000,
   1,    7,   10,    3,    3,       0.0000,       0.0000,       0.0000,
   1,    8,    1,    3,    3,       0.0000,       0.0000,       0.0000,
   1,    8,    2,    3,    3,       0.0000,       0.0000,       0.0000,
   1,    8,    3,    3,    3,       0.0000,       0.0000,       0.0000,
   1,    8,    4,    3,    3,       0.0000,       0.0000,       0.0000,
   1,    8,    5,    3,    3,       0.0000,       0.0000,       0.0000,
   1,    8,    6,    3,    3,       0.0000,       0.0000,       0.0000,
   1,    8,    7,    3,    3,       0.0000,       0.0000,       0.0000,
   1,    8,    8,    3,    3,       0.0000,       0.0000,       0.0000,
   1,    8,    9,    3,    3,       0.0000,       0.0000,       0.0000,
   1,    8,   10,    3,    3,       0.0000,       0.0000,       0.0000,
   1,    9,    1,    3,    3,       0.0000,       0.0000,       0.0000,
   1,    9,    2,    3,    3,       0.0000,       0.0000,       0.0000,
   1,    9,    3,    3,    3,       0.0000,       0.0000,       0.0000,
   1,    9,    4,    3,    3,       0.0000,       0.0000,       0.0000,
   1,    9,    5,    3,    3,       0.0000,       0.0000,       0.0000,
   1,    9,    6,    3,    3,       0.0000,       0.0000,       0.0000,
   1,    9,    7,    3,    3,       0.0000,       0.0000,       0.0000,
   1,    9,    8,    3,    3,       0.0000,       0.0000,       0.0000,
   1,    9,    9,    3,    3,       0.0000,       0.0000,       0.0000,
   1,    9,   10,    3,    3,       0.0000,       0.0000,       0.0000,
   1,   10,    1,    3,    3,       0.0000,       0.0000,       0.0000,
   1,   10,    2,    3,    3,       0.0000,       0.0000,       0.0000,
   1,   10,    3,    3,    3,       0.0000,       0.0000,       0.0000,
   1,   10,    4,    3,    3,       0.0000,       0.0000,       0.0000,
   1,   10,    5,    3,    3,       0.0000,       0.0000,       0.0000,
   1,   10,    6,    3,    3,       0.0000,       0.0000,       0.0000,
   1,   10,    7,    3,    3,       0.0000,       0.0000,       0.0000,
   1,   10,    8,    3,    3,       0.0000,       0.0000,       0.0000,
   1,   10,    9,    3,    3,       0.0000,       0.0000,       0.0000,
   1,   10,   10,    3,    3,       0.0000,       0.0000,       0.0000,
   1,   11,    1,    3,    3,       0.0000,       0.0000,       0.0000,
   1,   11,    2,    3,    3,       0.0000,       0.0000,       0.0000,
   1,   11,    3,    3,    3,       0.0000,       0.0000,       0.0000,
   1,   11,    4,    3,    3,       0.0000,       0.0000,       0.0000,
   1,   11,    5,    3,    3,       0.0000,       0.0000,       0.0000,
   1,   11,    6,    3,    3,       0.0000,       0.0000,       0.0000,
   1,   11,    7,    3,    3,       0.0000,       0.0000,       0.0000,
   1,   11,    8,    3,    3,       0.0000,       0.0000,       0.0000,
   1,   11,    9,    3,    3,       0.0000,       0.0000,       0.0000,
   1,   11,   10,    3,    3,       0.0000,       0.0000,       0.0000,
   1,   12,    1,    3,    3,       0.0000,       0.0000,       0.0000,
   1,   12,    2,    3,    3,       0.0000,       0.0000,       0.0000,
   1,   12,    3,    3,    3,       0.0000,       0.0000,       0.0000,
   1,   12,    4,    3,    3,       0.0000,       0.0000,       0.0000,
   1,   12,    5,    3,    3,       0.0000,       0.0000,       0.0000,
   1,   12,    6,    3,    3,       0.0000,       0.0000,       0.0000,
   1,   12,    7,    3,    3,       0.0000,       0.0000,       0.0000,
   1,   12,    8,    3,    3,       0.0000,       0.0000,       0.0000,
   1,   12,    9,    3,    3,       0.0000,       0.0000,       0.0000,
   1,   12,   10,    3,    3,       0.0000,       0.0000,       0.0000,
   1,    1,    1,    4,    4,       0.0000,       0.0000,       0.0000,
   1,    1,    2,    4,    4,       0.0000,       0.0000,       0.0000,
   1,    1,    3,    4,    4,       0.0000,       0.0000,       0.0000,
   1,    1,    4,    4,    4,       0.0000,       0.0000,       0.0000,
   1,    1,    5,    4,    4,       0.0000,       0.0000,       0.0000,
   1,    1,    6,    4,    4,       0.0000,       0.0000,       0.0000,
   1,    1,    7,    4,    4,       0.0000,       0.0000,       0.0000,
   1,    1,    8,    4,    4,       0.0000,       0.0000,       0.0000,
   1,    1,    9,    4,    4,       0.0000,       0.0000,       0.0000,
   1,    1,   10,    4,    4,       0.0000,       0.0000,       0.0000,
   1,    2,    1,    4,    4,       0.0000,       0.0000,       0.0000,
   1,    2,    2,    4,    4,       0.0000,       0.0000,       0.0000,
   1,    2,    3,    4,    4,       0.0000,       0.0000,       0.0000,
   1,    2,    4,    4,    4,       0.0000,       0.0000,       0.0000,
   1,    2,    5,    4,    4,       0.0000,       0.0000,       0.0000,
   1,    2,    6,    4,    4,       0.0000,       0.0000,       0.0000,
   1,    2,    7,    4,    4,       0.0000,       0.0000,       0.0000,
   1,    2,    8,    4,    4,       0.0000,       0.0000,       0.0000,
   1,    2,    9,    4,    4,       0.0000,       0.0000,       0.0000,
   1,    2,   10,    4,    4,       0.0000,       0.0000,       0.0000,
   1,    3,    1,    4,    4,       0.0000,       0.0000,       0.0000,
   1,    3,    2,    4,    4,       0.0000,       0.0000,       0.0000,
   1,    3,    3,    4,    4,       0.0000,       0.0000,       0.0000,
   1,    3,    4,    4,    4,       0.0000,       0.0000,       0.0000,
   1,    3,    5,    4,    4,       0.0000,       0.0000,       0.0000,
   1,    3,    6,    4,    4,       0.0000,       0.0000,       0.0000,
   1,    3,    7,    4,    4,       0.0000,       0.0000,       0.0000,
   1,    3,    8,    4,    4,       0.0000,       0.0000,       0.0000,
   1,    3,    9,    4,    4,       0.0000,       0.0000,       0.0000,
   1,    3,   10,    4,    4,       0.0000,       0.0000,       0.0000,
   1,    4,    1,    4,    4,       0.0000,       0.0000,       0.0000,
   1,    4,    2,    4,    4,       0.0000,       0.0000,       0.0000,
   1,    4,    3,    4,    4,       0.0000,       0.0000,       0.0000,
   1,    4,    4,    4,    4,       0.0000,       0.0000,       0.0000,
   1,    4,    5,    4,    4,       0.0000,       0.0000,       0.0000,
   1,    4,    6,    4,    4,       0.0000,       0.0000,       0.0000,
   1,    4,    7,    4,    4,       0.0000,       0.0000,       0.0000,
   1,    4,    8,    4,    4,       0.0000,       0.0000,       0.0000,
   1,    4,    9,    4,    4,       0.0000,       0.0000,       0.0000,
   1,    4,   10,    4,    4,       0.0000,       0.0000,       0.0000,
   1,    5,    1,    4,    4,       0.0000,       0.0000,       0.0000,
   1,    5,    2,    4,    4,       0.0000,       0.0000,       0.0000,
   1,    5,    3,    4,    4,       0.0000,       0.0000,       0.0000,
   1,    5,    4,    4,    4,       0.0000,       0.0000,       0.0000,
   1,    5,    5,    4,    4,       0.0000,       0.0000,       0.0000,
   1,    5,    6,    4,    4,       0.0000,       0.0000,       0.0000,
   1,    5,    7,    4,    4,       0.0000,       0.0000,       0.0000,
   1,    5,    8,    4,    4,       0.0000,       0.0000,       0.0000,
   1,    5,    9,    4,    4,       0.0000,       0.0000,       0.0000,
   1,    5,   10,    4,    4,       0.0000,       0.0000,       0.0000,
