ano,mes,data,submercado,calculado,pmo,patamar,erro
2024,8,2024-08-01,SUDESTE,42244.2498,42244.0,1,0.0
2024,9,2024-09-01,SUDESTE,42286.7408,42286.0,1,0.0
2024,10,2024-10-01,SUDESTE,44948.742000000006,44949.0,1,0.0
2024,11,2024-11-01,SUDESTE,45649.816,45650.0,1,0.0
2024,12,2024-12-01,SUDESTE,46196.1192,46196.0,1,0.0
2025,1,2025-01-01,SUDESTE,50322.065800000004,50322.0,1,0.0
2025,2,2025-02-01,SUDESTE,50655.6418,50656.0,1,0.0
2025,3,2025-03-01,SUDESTE,48726.1122,48726.0,1,0.0
2025,4,2025-04-01,SUDESTE,46536.02100000001,46536.0,1,0.0
2025,5,2025-05-01,SUDESTE,45010.978800000004,45011.0,1,0.0
2025,6,2025-06-01,SUDESTE,44845.1,44845.0,1,0.0
2025,7,2025-07-01,SUDESTE,44053.555,44054.0,1,0.0
2025,8,2025-08-01,SUDESTE,44773.8688,44774.0,1,0.0
2025,9,2025-09-01,SUDESTE,44208.236800000006,44208.0,1,0.0
2025,10,2025-10-01,SUDESTE,45235.7,45236.0,1,0.0
2025,11,2025-11-01,SUDESTE,46189.4733,46190.0,1,0.0
2025,12,2025-12-01,SUDESTE,46533.468,46533.0,1,0.0
2026,1,2026-01-01,SUDESTE,51412.079999999994,51412.0,1,0.0
2026,2,2026-02-01,SUDESTE,50358.148,50358.0,1,0.0
2026,3,2026-03-01,SUDESTE,50783.0567,50783.0,1,0.0
2026,4,2026-04-01,SUDESTE,47686.398,47687.0,1,0.0
2026,5,2026-05-01,SUDESTE,46715.891200000005,46716.0,1,0.0
2026,6,2026-06-01,SUDESTE,45989.199,45989.0,1,0.0
2026,7,2026-07-01,SUDESTE,45411.6736,45412.0,1,0.0
2026,8,2026-08-01,SUDESTE,46275.85399999999,46276.0,1,0.0
2026,9,2026-09-01,SUDESTE,45668.1806,45669.0,1,0.0
2026,10,2026-10-01,SUDESTE,47037.608,47037.0,1,0.0
2026,11,2026-11-01,SUDESTE,47645.258,47645.0,1,0.0
2026,12,2026-12-01,SUDESTE,47957.2808,47957.0,1,0.0
2027,1,2027-01-01,SUDESTE,53318.800800000005,53319.0,1,0.0
2027,2,2027-02-01,SUDESTE,51888.4036,51889.0,1,0.0
2027,3,2027-03-01,SUDESTE,52193.3546,52193.0,1,0.0
2027,4,2027-04-01,SUDESTE,48885.745200000005,48886.0,1,0.0
2027,5,2027-05-01,SUDESTE,48367.2555,48367.0,1,0.0
2027,6,2027-06-01,SUDESTE,47379.327999999994,47379.0,1,0.0
2027,7,2027-07-01,SUDESTE,47084.5872,47084.0,1,0.0
2027,8,2027-08-01,SUDESTE,47728.0008,47728.0,1,0.0
2027,9,2027-09-01,SUDESTE,47152.825800000006,47153.0,1,0.0
2027,10,2027-10-01,SUDESTE,48846.8964,48847.0,1,0.0
2027,11,2027-11-01,SUDESTE,48997.202,48997.0,1,0.0
2027,12,2027-12-01,SUDESTE,49277.6742,49278.0,1,0.0
2028,1,2028-01-01,SUDESTE,54956.621600000006,54957.0,1,0.0
2028,2,2028-02-01,SUDESTE,53451.839199999995,53451.0,1,0.0
2028,3,2028-03-01,SUDESTE,53844.4847,53844.0,1,0.0
2028,4,2028-04-01,SUDESTE,51461.416900000004,51462.0,1,0.0
2028,5,2028-05-01,SUDESTE,49628.733100000005,49629.0,1,0.0
2028,6,2028-06-01,SUDESTE,49228.548,49229.0,1,0.0
2028,7,2028-07-01,SUDESTE,49202.47549999999,49202.0,1,0.0
2028,8,2028-08-01,SUDESTE,49203.4728,49203.0,1,0.0
2028,9,2028-09-01,SUDESTE,48990.8336,48991.0,1,0.0
2028,10,2028-10-01,SUDESTE,50499.889200000005,50500.0,1,0.0
2028,11,2028-11-01,SUDESTE,50884.7537,50885.0,1,0.0
2028,12,2028-12-01,SUDESTE,51577.199199999995,51577.0,1,0.0
9999,1,9999-01-01,SUDESTE,54956.621600000006,54957.0,1,0.0
9999,2,9999-02-01,SUDESTE,53451.839199999995,53451.0,1,0.0
9999,3,9999-03-01,SUDESTE,53844.4847,53844.0,1,0.0
9999,4,9999-04-01,SUDESTE,51461.416900000004,51462.0,1,0.0
9999,5,9999-05-01,SUDESTE,49628.733100000005,49629.0,1,0.0
9999,6,9999-06-01,SUDESTE,49228.548,49229.0,1,0.0
9999,7,9999-07-01,SUDESTE,49202.47549999999,49202.0,1,0.0
9999,8,9999-08-01,SUDESTE,49203.4728,49203.0,1,0.0
9999,9,9999-09-01,SUDESTE,48990.8336,48991.0,1,0.0
9999,10,9999-10-01,SUDESTE,50499.889200000005,50500.0,1,0.0
9999,11,9999-11-01,SUDESTE,50884.7537,50885.0,1,0.0
9999,12,9999-12-01,SUDESTE,51577.199199999995,51577.0,1,0.0
2024,8,2024-08-01,SUDESTE,35596.353599999995,35596.0,2,0.0
2024,9,2024-09-01,SUDESTE,37036.58960000001,37037.0,2,0.0
2024,10,2024-10-01,SUDESTE,39842.217,39842.0,2,0.0
2024,11,2024-11-01,SUDESTE,40711.4464,40711.0,2,0.0
2024,12,2024-12-01,SUDESTE,41849.3384,41849.0,2,0.0
2025,1,2025-01-01,SUDESTE,45430.184799999995,45430.0,2,0.0
2025,2,2025-02-01,SUDESTE,45838.0972,45838.0,2,0.0
2025,3,2025-03-01,SUDESTE,43549.684700000005,43550.0,2,0.0
2025,4,2025-04-01,SUDESTE,40611.343,40612.0,2,0.0
2025,5,2025-05-01,SUDESTE,36580.612,36580.0,2,0.0
2025,6,2025-06-01,SUDESTE,35727.3786,35727.0,2,0.0
2025,7,2025-07-01,SUDESTE,34718.2716,34719.0,2,0.0
2025,8,2025-08-01,SUDESTE,36194.140199999994,36194.0,2,0.0
2025,9,2025-09-01,SUDESTE,37801.078,37801.0,2,0.0
2025,10,2025-10-01,SUDESTE,39250.28,39250.0,2,0.0
2025,11,2025-11-01,SUDESTE,40430.6741,40430.0,2,0.0
2025,12,2025-12-01,SUDESTE,41509.961,41510.0,2,0.0
2026,1,2026-01-01,SUDESTE,45793.234,45793.0,2,0.0
2026,2,2026-02-01,SUDESTE,44977.012,44977.0,2,0.0
2026,3,2026-03-01,SUDESTE,44715.0839,44715.0,2,0.0
2026,4,2026-04-01,SUDESTE,41107.9314,41108.0,2,0.0
2026,5,2026-05-01,SUDESTE,37385.6568,37386.0,2,0.0
2026,6,2026-06-01,SUDESTE,35993.132000000005,35993.0,2,0.0
2026,7,2026-07-01,SUDESTE,35257.238,35257.0,2,0.0
2026,8,2026-08-01,SUDESTE,36840.5709,36841.0,2,0.0
2026,9,2026-09-01,SUDESTE,38764.93719999999,38765.0,2,0.0
2026,10,2026-10-01,SUDESTE,40730.143000000004,40730.0,2,0.0
2026,11,2026-11-01,SUDESTE,41589.9736,41590.0,2,0.0
2026,12,2026-12-01,SUDESTE,42578.9004,42579.0,2,0.0
2027,1,2027-01-01,SUDESTE,47318.452000000005,47319.0,2,0.0
2027,2,2027-02-01,SUDESTE,46203.8068,46203.0,2,0.0
2027,3,2027-03-01,SUDESTE,45852.33180000001,45853.0,2,0.0
2027,4,2027-04-01,SUDESTE,41963.4188,41964.0,2,0.0
2027,5,2027-05-01,SUDESTE,38505.9945,38506.0,2,0.0
2027,6,2027-06-01,SUDESTE,36780.742,36780.0,2,0.0
2027,7,2027-07-01,SUDESTE,36469.610400000005,36470.0,2,0.0
2027,8,2027-08-01,SUDESTE,37668.9616,37669.0,2,0.0
2027,9,2027-09-01,SUDESTE,39873.7586,39874.0,2,0.0
2027,10,2027-10-01,SUDESTE,42200.7272,42201.0,2,0.0
2027,11,2027-11-01,SUDESTE,42628.0411,42628.0,2,0.0
2027,12,2027-12-01,SUDESTE,43611.4074,43611.0,2,0.0
2028,1,2028-01-01,SUDESTE,48641.0004,48641.0,2,0.0
2028,2,2028-02-01,SUDESTE,47443.691600000006,47444.0,2,0.0
2028,3,2028-03-01,SUDESTE,47103.7585,47104.0,2,0.0
2028,4,2028-04-01,SUDESTE,44227.3996,44228.0,2,0.0
2028,5,2028-05-01,SUDESTE,39216.666600000004,39217.0,2,0.0
2028,6,2028-06-01,SUDESTE,38272.991200000004,38273.0,2,0.0
2028,7,2028-07-01,SUDESTE,38066.998499999994,38067.0,2,0.0
2028,8,2028-08-01,SUDESTE,38602.5672,38603.0,2,0.0
2028,9,2028-09-01,SUDESTE,41492.0008,41492.0,2,0.0
2028,10,2028-10-01,SUDESTE,43418.9504,43419.0,2,0.0
2028,11,2028-11-01,SUDESTE,44286.2052,44286.0,2,0.0
2028,12,2028-12-01,SUDESTE,45699.7101,45700.0,2,0.0
9999,1,9999-01-01,SUDESTE,48641.0004,48641.0,2,0.0
9999,2,9999-02-01,SUDESTE,47443.691600000006,47444.0,2,0.0
9999,3,9999-03-01,SUDESTE,47103.7585,47104.0,2,0.0
9999,4,9999-04-01,SUDESTE,44227.3996,44228.0,2,0.0
9999,5,9999-05-01,SUDESTE,39216.666600000004,39217.0,2,0.0
9999,6,9999-06-01,SUDESTE,38272.991200000004,38273.0,2,0.0
9999,7,9999-07-01,SUDESTE,38066.998499999994,38067.0,2,0.0
9999,8,9999-08-01,SUDESTE,38602.5672,38603.0,2,0.0
9999,9,9999-09-01,SUDESTE,41492.0008,41492.0,2,0.0
9999,10,9999-10-01,SUDESTE,43418.9504,43419.0,2,0.0
9999,11,9999-11-01,SUDESTE,44286.2052,44286.0,2,0.0
9999,12,9999-12-01,SUDESTE,45699.7101,45700.0,2,0.0
2024,8,2024-08-01,SUDESTE,29930.944799999997,29931.0,3,0.0
2024,9,2024-09-01,SUDESTE,30767.5752,30768.0,3,0.0
2024,10,2024-10-01,SUDESTE,33090.728,33090.0,3,0.0
2024,11,2024-11-01,SUDESTE,33358.9088,33359.0,3,0.0
2024,12,2024-12-01,SUDESTE,35123.9754,35124.0,3,0.0
2025,1,2025-01-01,SUDESTE,38371.7654,38372.0,3,0.0
2025,2,2025-02-01,SUDESTE,39126.308,39126.0,3,0.0
2025,3,2025-03-01,SUDESTE,37910.5835,37911.0,3,0.0
2025,4,2025-04-01,SUDESTE,34536.689,34537.0,3,0.0
2025,5,2025-05-01,SUDESTE,31429.9024,31430.0,3,0.0
2025,6,2025-06-01,SUDESTE,30931.5634,30932.0,3,0.0
2025,7,2025-07-01,SUDESTE,30089.216800000002,30089.0,3,0.0
2025,8,2025-08-01,SUDESTE,31148.2445,31148.0,3,0.0
2025,9,2025-09-01,SUDESTE,32375.637200000005,32376.0,3,0.0
2025,10,2025-10-01,SUDESTE,33385.07,33385.0,3,0.0
2025,11,2025-11-01,SUDESTE,33499.705,33500.0,3,0.0
2025,12,2025-12-01,SUDESTE,35377.758,35378.0,3,0.0
2026,1,2026-01-01,SUDESTE,39177.266,39177.0,3,0.0
2026,2,2026-02-01,SUDESTE,38873.172,38873.0,3,0.0
2026,3,2026-03-01,SUDESTE,39335.73,39336.0,3,0.0
2026,4,2026-04-01,SUDESTE,35282.298800000004,35283.0,3,0.0
2026,5,2026-05-01,SUDESTE,32284.212999999996,32285.0,3,0.0
2026,6,2026-06-01,SUDESTE,31724.062400000003,31724.0,3,0.0
2026,7,2026-07-01,SUDESTE,30928.2724,30928.0,3,0.0
2026,8,2026-08-01,SUDESTE,31999.796199999997,32000.0,3,0.0
2026,9,2026-09-01,SUDESTE,33372.498999999996,33372.0,3,0.0
2026,10,2026-10-01,SUDESTE,34692.051,34692.0,3,0.0
2026,11,2026-11-01,SUDESTE,34529.1362,34529.0,3,0.0
2026,12,2026-12-01,SUDESTE,36455.0988,36455.0,3,0.0
2027,1,2027-01-01,SUDESTE,40387.6016,40388.0,3,0.0
2027,2,2027-02-01,SUDESTE,40038.336,40038.0,3,0.0
2027,3,2027-03-01,SUDESTE,40705.1871,40705.0,3,0.0
2027,4,2027-04-01,SUDESTE,36307.2812,36308.0,3,0.0
2027,5,2027-05-01,SUDESTE,33229.5295,33229.0,3,0.0
2027,6,2027-06-01,SUDESTE,32589.382400000002,32589.0,3,0.0
2027,7,2027-07-01,SUDESTE,32108.82,32109.0,3,0.0
2027,8,2027-08-01,SUDESTE,32866.655399999996,32867.0,3,0.0
2027,9,2027-09-01,SUDESTE,34466.5881,34467.0,3,0.0
2027,10,2027-10-01,SUDESTE,35897.5996,35897.0,3,0.0
2027,11,2027-11-01,SUDESTE,35463.5197,35463.0,3,0.0
2027,12,2027-12-01,SUDESTE,37491.4392,37491.0,3,0.0
2028,1,2028-01-01,SUDESTE,41569.854499999994,41570.0,3,0.0
2028,2,2028-02-01,SUDESTE,41273.9392,41274.0,3,0.0
2028,3,2028-03-01,SUDESTE,41957.7761,41957.0,3,0.0
2028,4,2028-04-01,SUDESTE,37868.6441,37868.0,3,0.0
2028,5,2028-05-01,SUDESTE,34355.9093,34356.0,3,0.0
2028,6,2028-06-01,SUDESTE,33999.3196,33999.0,3,0.0
2028,7,2028-07-01,SUDESTE,33334.322499999995,33334.0,3,0.0
